### OUTPUT ###
ID#452 : time : 110, Operation : replace, fitness : -1.0
ID#453 : time : 106, Operation : delete, fitness : -1.0
ID#454 : time : 45, Operation : random-crossover, fitness : 0.984848484848
ID#455 : time : 54, Operation : random-crossover, fitness : -1.0
ID#456 : time : 56, Operation : delete, fitness : -1.0
ID#457 : time : 104, Operation : insert_before, fitness : -1.0
ID#458 : time : 215, Operation : insert_after, fitness : -1.0
ID#459 : time : 43, Operation : insert_after, fitness : -1.0
ID#460 : time : 525, Operation : delete, fitness : 0.939393939394
ID#461 : time : 26, Operation : random-crossover, fitness : -1.0
ID#462 : time : 27, Operation : random-crossover, fitness : -1.0
ID#463 : time : 569, Operation : delete, fitness : 0.939393939394
ID#464 : time : 100, Operation : delete, fitness : -1.0
ID#465 : time : 64, Operation : delete, fitness : -1.0
ID#466 : time : 30, Operation : insert_after, fitness : -1.0
ID#467 : time : 123, Operation : insert_before, fitness : -1.0
ID#468 : time : 16, Operation : random-crossover, fitness : -1.0
ID#469 : time : 47, Operation : random-crossover, fitness : 0.984848484848
ID#470 : time : 104, Operation : replace, fitness : -1.0
ID#471 : time : 110, Operation : insert_after, fitness : -1.0
ID#472 : time : 111, Operation : insert_before, fitness : -1.0
ID#473 : time : 233, Operation : replace, fitness : -1.0
ID#474 : time : 118, Operation : insert_after, fitness : -1.0
ID#475 : time : 73, Operation : random-crossover, fitness : -1.0
ID#476 : time : 39, Operation : random-crossover, fitness : -1.0
ID#477 : time : 141, Operation : replace, fitness : -1.0
ID#478 : time : 75, Operation : delete, fitness : -1.0
ID#479 : time : 146, Operation : delete, fitness : -1.0
ID#480 : time : 123, Operation : insert_before, fitness : -1.0
ID#481 : time : 70, Operation : delete, fitness : -1.0
ID#482 : time : 42, Operation : random-crossover, fitness : -1.0
ID#483 : time : 41, Operation : random-crossover, fitness : -1.0
ID#484 : time : 93, Operation : replace, fitness : -1.0
